id_eigl;public_data;country;name;location;company;capacity_mwe;start_year;eigl_process;eigl_text_lon;eigl_text_lat;x;y
500;YES;Germany;PtG-Emden;Emden;;0.312;2015;Power to Gas;7.205800000000001;53.36709999999999;802145.9868000001;7051192.276500002
501;YES;Germany;Power-2-Hydrogen-Tankstelle;Hamburg;;0.18;2015;Other or unknown;10.0099;53.5438;1114296.9708999991;7084226.566699997
502;YES;Germany;WindGas Hamburg;Hamburg;;1;2015;Other or unknown;10.0099;53.5438;1114296.9708999991;7084226.566699997
503;YES;Germany;HELMETH;Karlsruhe;;0.008;2015;Power to Gas;8.4041;49.01059999999999;935540.1325999983;6276660.183700003
504;YES;Germany;Energiepark Pirmasens-Winzeln;Pirmasens;;2.5;2015;Power to Gas;7.6088;49.19969999999999;847007.7415000014;6308814.487999998
505;YES;Germany;Mikrobielle Methanisierung;Schwandorf;;0.275;2015;Power to Gas;12.1093;49.32620000000001;1348001.1099000014;6330393.056900002
506;YES;Germany;HYPOS: localhy;Sonneberg;;0.075;2015;Other or unknown;11.169199999999998;50.3575;1243349.6565999985;6508420.288099997
507;YES;Germany;Komplexlabor FH Stralsund;Stralsund;;0.02;2015;Other or unknown;13.0821;54.3096;1456292.7104999982;7229010.245499998
508;YES;Germany;Biogasbooster;Straubing;;0;2015;Power to Gas;12.569699999999997;48.882;1399252.6033999994;6254862.929300003
509;YES;Germany;Wasserstofftankstelle Stuttgart Talstra?e;Stuttgart;;0.4;2015;Other or unknown;9.179999999999998;48.7784;1021912.9255000018;6237343.817299999
510;YES;Germany;BioPower2Gas-Erweiterung;Allendorf (Eder);;0;2016;Power to Gas;8.672300000000002;51.0296;965396.0199999996;6626531.291100003
511;YES;Germany;Exytron Zero-Emission-Wohnpark;Alzey;;0.063;2016;Power to Gas;8.1151;49.7456;903368.7996999994;6402334.255000003
512;YES;Germany;Smart Grid Solar;Arzberg;;0.075;2016;Other or unknown;12.185899999999998;50.0567;1356528.1829000004;6456101.078699999
513;YES;Germany;Biologische Methanisierung in Rieselbettreaktoren;Garching;;0;2016;Power to Gas;11.650999999999998;48.25139999999999;1296983.3872000016;6148781.210699998
514;YES;Germany;Einsatz Germanyr biologischen Methanisierung […];Hohenheim;;0;2016;Power to Gas;9.2113;48.7118;1025397.2254999988;6226100.6175
515;YES;Germany;Laborreaktor am Fraunhofer IWES;Kassel;;0;2016;Other or unknown;9.492399999999998;51.3155;1056689.134399999;6677292.916500002
